province,city,type,kode_faskes,NamaFaskes,gmap_url,address,telephone,lat,lng
Nanggroe Aceh Darussalam,Kab. Bener,Puskesmas,04240017,Ronga-Ronga,"http://maps.google.co.id/?q=4.814687,96.740095",Jl. Takengon - Bireuen,,4.814687,96.740095
Nanggroe Aceh Darussalam,Kab. Bener,Puskesmas,04240018,Samar Kilang,"http://maps.google.co.id/?q=4.735619,97.219206",Jl.Pondok Baru Samar Kilang ,,4.735619,97.219206
Nanggroe Aceh Darussalam,Kab. Bener,Puskesmas,04240101,Simpang Tiga,"http://maps.google.co.id/?q=4.733881,96.865457","Jl.Pendopo I, Blang Sentang",0-0852 7744 56,4.733881,96.865457
Nanggroe Aceh Darussalam,Kab. Bener,Puskesmas,04240603,Mesidah,"http://maps.google.co.id/?q=4.754066,97.02835",Jalan Samar Kilang Sosial,0852-96962641,4.754066,97.02835
Nanggroe Aceh Darussalam,Kab. Bener,Puskesmas,04240604,Bener Kelipah,"http://maps.google.co.id/?q=4.771083,96.911734",Jalan Ramung,0-085260840884,4.771083,96.911734
Nanggroe Aceh Darussalam,Kab. Bener,Puskesmas,04240605,Ramung,"http://maps.google.co.id/?q=4.804812,96.945466",Jalan Ramung-Jelobok,0644-21827,4.804812,96.945466
Nanggroe Aceh Darussalam,Kab. Bener,Klinik Pratama,04240020,Urkes Polres Bener Meriah,"http://maps.google.co.id/?q=4.742276,96.815946",Jl. Bandara Rembele,62-852 6057 94,4.742276,96.815946
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Rumah Sakit,0457R001,RSUD Pidie Jaya,"http://maps.google.co.id/?q=4.98826,96.280103",Jl. B. Aceh-Medan Km. 158 Meur,0653- 8003067,4.98826,96.280103
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040101,Bandar Dua,"http://maps.google.co.id/?q=5.20291,96.31463",Jl. Banda Aceh - Medan,821-68111200,5.20291,96.31463
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040102,Kuta Krueng,"http://maps.google.co.id/?q=5.23622,96.2283","Kuta Krueng, Bandar Dua",0653-00000,5.23622,96.2283
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040201,Meureudu,"http://maps.google.co.id/?q=5.251591,96.246692","Jl. Iskandar Muda, No.1 ",0852-21117292,5.251591,96.246692
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040202,Meurah Dua,"http://maps.google.co.id/?q=5.231989,96.260396","Jl. Suenong-Meureudu, Gampong",0653-081269253,5.231989,96.260396
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040301,Trieng Gadeng,"http://maps.google.co.id/?q=5.254004,96.187485","Jl. Banda Aceh-Medan, Gp.Paya",0000-00000000,5.254004,96.187485
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040302,Pante Raja,"http://maps.google.co.id/?q=5.273875,96.135224",Jl. Banda Aceh - Medan Gampong,0653-0,5.273875,96.135224
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01040401,Bandar Baru,"http://maps.google.co.id/?q=5.254638,96.060116","Jl. Banda Aceh-Medan,  Leung P",0-081270210488,5.254638,96.060116
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,01042201,Ulim,"http://maps.google.co.id/?q=5.22679,96.284407",Jl. T. Maharaja Said Mansyur N,0-085273959595,5.22679,96.284407
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,04570001,Jangka Buya,"http://maps.google.co.id/?q=5.222506,96.321321","Jl. Rel Kereta Api, Jk Buya",08-5260020669,5.222506,96.321321
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,04570003,Blang Kuta,"http://maps.google.co.id/?q=5.1825,96.278611","Jl. Ulee Gle Barat, Gp.Blang K",,5.1825,96.278611
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Puskesmas,04570103,Cubo,"http://maps.google.co.id/?q=5.22297,96.114532","Cubo, Bandar Baru",0653-51260,5.22297,96.114532
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Klinik Utama,0457U004,Dr. Nurul Maizar,"http://maps.google.co.id/?q=5.0,96.0",Gampong Rhing Blang,0-085207704330,5.0,96.0
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Klinik Utama,0457U005,Dr. Radhiyah,"http://maps.google.co.id/?q=5.271677,96.14509",Gampong Mesjid Pante Raja,0-085260150351,5.271677,96.14509
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Klinik Pratama,0457B001,Klinik Tiga Saudara,"http://maps.google.co.id/?q=5.25539,96.06196",Jln. Banda Aceh - Medan Km.132,00-08526000678,5.25539,96.06196
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Klinik Pratama,0457B002,Klinik Asyifa,"http://maps.google.co.id/?q=5.23217,96.26255",Jln. Banda Aceh - Medan ,0-085277054320,5.23217,96.26255
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Klinik Pratama,0457U001,Kl Asmaul Husna,"http://maps.google.co.id/?q=5.19818,96.31779",Jl B.Aceh-Medan Keude Ulee Gle,0-085361390668,5.19818,96.31779
Nanggroe Aceh Darussalam,Kab. Pie Jaya,Klinik Pratama,0457U003,Klinik Permata,"http://maps.google.co.id/?q=5.25883,96.1832",Gampong Keude Trienggadeng,0-06537829200,5.25883,96.1832
Nanggroe Aceh Darussalam,Kab. Subulussalam,Rumah Sakit,0458R000,RSUD Subulussalam,"http://maps.google.co.id/?q=2.6489912,97.986262",Jln. Hamzah Fansyuri,0627-31700,2.6489912,97.986262
Nanggroe Aceh Darussalam,Kab. Subulussalam,Puskesmas,04580001,Penanggalan,"http://maps.google.co.id/?q=2.638074,98.010324",Jl. Teuku Umar No 196,( 0627 ) 31142,2.638074,98.010324
Nanggroe Aceh Darussalam,Kab. Subulussalam,Puskesmas,04580002,Sultan Daulat,"http://maps.google.co.id/?q=2.7927,97.896337","Jambi Baru,Kec Sultan Daulat",085260373111,2.7927,97.896337
Nanggroe Aceh Darussalam,Kab. Subulussalam,Puskesmas,04580003,Longkip,"http://maps.google.co.id/?q=2.625475,97.957551",Darul Aman Kec.Longkib ,082367778401,2.625475,97.957551
Nanggroe Aceh Darussalam,Kab. Subulussalam,Puskesmas,04580004,Simpang Kiri,"http://maps.google.co.id/?q=2.649181,97.984249",Jln. Hamzah Fansyuri ,081377267910,2.649181,97.984249
Nanggroe Aceh Darussalam,Kab. Subulussalam,Klinik Utama,0458U002,Dr Tri Sari Dharmayanti,"http://maps.google.co.id/?q=2.637993,98.010412",Jl. Siti Ambiya,085270876595,2.637993,98.010412
Nanggroe Aceh Darussalam,Kab. Subulussalam,Klinik Utama,0458U004,dr. Sarifin Usman Kombih,"http://maps.google.co.id/?q=2.643635,97.999927",Hamzah Fansuri,08116518186,2.643635,97.999927
Nanggroe Aceh Darussalam,Kab. Subulussalam,Klinik Utama,0458U005,dr. Luchia Elfira Novtavia,"http://maps.google.co.id/?q=2.627857,98.022197",Jl. Teuku Umar No. 82,081262509327,2.627857,98.022197
Nanggroe Aceh Darussalam,Kab. Subulussalam,Klinik Pratama,0458B001,Klinik Mutia Medika,"http://maps.google.co.id/?q=2.642347,98.006369",Jl. Cut Nyak Dien No. 37,062731850,2.642347,98.006369
Sumatera Utara,Kab. Nias,Puskesmas,00210105,Sogaeadu,"http://maps.google.co.id/?q=1.084591,97.7368",Kecamatan Sogaeadu,081361306156,1.084591,97.7368
Sumatera Utara,Kab. Nias,Puskesmas,00210902,Ulugawo,"http://maps.google.co.id/?q=0.90848981,97.89219177","Ds. Hili, Kec. Ulugawo",081397000972,0.90848981,97.89219177
Sumatera Utara,Kab. Nias,Puskesmas,00210903,Ma'U,"http://maps.google.co.id/?q=0.98298069,97.71023071","Ds.Lasara Siwalubanua,Kec.Ma'U",081397789208,0.98298069,97.71023071
Sumatera Utara,Kab. Nias,Puskesmas,00210904,Somolo-Molo,"http://maps.google.co.id/?q=1.07403237,97.6447419",Desa Somolo-Molo,081397332833,1.07403237,97.6447419
Sumatera Utara,Kab. Nias,Puskesmas,00210905,Botomuzoi,"http://maps.google.co.id/?q=1.06021603,97.69182003","Ds. Hiliwaele Ii, Kec. Botomuz",081375110975,1.06021603,97.69182003
Sumatera Utara,Kab. Nias,Puskesmas,02170302,Gido,"http://maps.google.co.id/?q=1.11653,97.7235",Jl. Pancasila No. 32,081227969973,1.11653,97.7235
Sumatera Utara,Kab. Nias,Puskesmas,02170401,Idano Gawo,"http://maps.google.co.id/?q=1.024988,97.773648",Jl. Pancasila No. 15 ,085262671884,1.024988,97.773648
Sumatera Utara,Kab. Nias,Puskesmas,02170402,Bawolato,"http://maps.google.co.id/?q=0.90848981,97.89219177",Jl. Arah Teluk Dalam Km 56,081361308924,0.90848981,97.89219177
Sumatera Utara,Kab. Nias,Puskesmas,02171401,Botombawo,"http://maps.google.co.id/?q=1.197364,97.567927",Desa Botombawo,081361401012,1.197364,97.567927
Sumatera Utara,Kab. Nias,Puskesmas,02171402,Hiliduho,"http://maps.google.co.id/?q=1.24728891,97.52811945",Fadoro,081370963930,1.24728891,97.52811945
Sumatera Utara,Kab. Mandailing Natal,Rumah Sakit,0022R003,RS Permata Madina Panyabungan,"http://maps.google.co.id/?q=0.871662,99.562819",Jl. Merdeka No 155 Kel. Kayu J,0636-20279,0.871662,99.562819
Sumatera Utara,Kab. Mandailing Natal,Rumah Sakit,0022R005,RSUD Dr. Husni Thamrin,"http://maps.google.co.id/?q=0.562767,99.110383","Jl. Multatuli No. 72 Natal,",0636- 7325118,0.562767,99.110383
Sumatera Utara,Kab. Mandailing Natal,Rumah Sakit,0219R001,RSUD Panyabungan,"http://maps.google.co.id/?q=0.86420716,99.56343234",Jl. Merdeka No. 40,0636-20181,0.86420716,99.56343234
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,00220001,Gunung Tua,"http://maps.google.co.id/?q=0.885272,99.560509",Jalan Bhayangkara,0636-085370464,0.885272,99.560509
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,00220002,Huta Bargot,"http://maps.google.co.id/?q=0.871067,99.502314",Huta Bargot Lombang,0636-326175,0.871067,99.502314
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,00220003,Sibanggor,"http://maps.google.co.id/?q=0.724239,99.576439",Sibanggor Jae,0636-085261408,0.724239,99.576439
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,00220104,Manisak,"http://maps.google.co.id/?q=0.521119,99.401242",Desa Manisak,0636-081370611,0.521119,99.401242
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,00220802,Patiluban Mudik,"http://maps.google.co.id/?q=0.585558,99.201789","Ds. Patiluban Mudik, Kec. Nata",62-08126243528,0.585558,99.201789
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,00220803,Naga Juang,"http://maps.google.co.id/?q=0.928198,99.48551",Naga Juang Desa Tambiski,0636-326175,0.928198,99.48551
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190101,Siabu,"http://maps.google.co.id/?q=1.003636,99.507819",Jl. Imam Bonjol,62-081265139,1.003636,99.507819
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190102,Sihepeng,"http://maps.google.co.id/?q=1.08894,99.456514",Sihepeng,0636-326175,1.08894,99.456514
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190103,Malintang,"http://maps.google.co.id/?q=0.95795,99.520725",Malintang,0636-0,0.95795,99.520725
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190201,Mompang,"http://maps.google.co.id/?q=0.90993,99.537233",Jl. Lintas Sumatera. Mompang J,0823-64229085,0.90993,99.537233
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190202,Panyabungan Jae,"http://maps.google.co.id/?q=0.863101,99.550778",Jl. Kol. H.M. Nurdin,0636-321929,0.863101,99.550778
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190203,Kayu Laut,"http://maps.google.co.id/?q=0.75907,99.567546",Jl. Lintas Natal - Panyabungan,62-08136126808,0.75907,99.567546
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190204,Gunung Baringin,"http://maps.google.co.id/?q=0.799038,99.644506",Gunung Baringin,0636-085373244,0.799038,99.644506
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190205,Longat,"http://maps.google.co.id/?q=0.828098,99.515766",Longat,,0.828098,99.515766
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190301,Kotanopan,"http://maps.google.co.id/?q=0.666605,99.706711",Jl. Lingkar Barat Desa Padang ,0636-41030,0.666605,99.706711
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190302,Maga,"http://maps.google.co.id/?q=0.730335,99.603094","Jalan Raja Enda Maga, Kecamata",0813-61528805,0.730335,99.603094
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190303,Tambangan,"http://maps.google.co.id/?q=0.727153,99.653333",Desa Tambangan Tonga,0636-0,0.727153,99.653333
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190304,Ulu Pungkut,"http://maps.google.co.id/?q=0.537055,99.768625",Jl.Raja Junjungan Lubis Kelura,0636-326175,0.537055,99.768625
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190401,Muara Sipongi,"http://maps.google.co.id/?q=0.628894,99.841331",Jl. Raya Medan-Padang,0636-326175,0.628894,99.841331
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190402,Pakantan,"http://maps.google.co.id/?q=0.508803,99.876157",Desa Huta Padang,0636-326175,0.508803,99.876157
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190501,Muarasoma,"http://maps.google.co.id/?q=0.689335,99.368974",Jl. Lintas Mandailing Natal,62-08126403147,0.689335,99.368974
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190502,Simpang Gambir,"http://maps.google.co.id/?q=0.615904,99.288318",Simpanggambir,62-08136007184,0.615904,99.288318
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190602,Sikara Kara,"http://maps.google.co.id/?q=0.621196,99.07943",Desa Sikarakara,62-08126275058,0.621196,99.07943
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190701,Batahan,"http://maps.google.co.id/?q=0.402831,99.137513",Lintas Batahan Natal,0636-081260801,0.402831,99.137513
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190702,Sinunukan,"http://maps.google.co.id/?q=0.493163,99.204049",Sinunukan,,0.493163,99.204049
Sumatera Utara,Kab. Mandailing Natal,Puskesmas,02190801,Singkuang,"http://maps.google.co.id/?q=1.059542,98.928864",Singkuang,0813-62694539,1.059542,98.928864
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U005,Dr Wuryandari,"http://maps.google.co.id/?q=0.668418,99.707177",Jl P Kemerdekaan No 36,0636-0,0.668418,99.707177
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U008,dr. Martiani Pujiatmika,"http://maps.google.co.id/?q=0.86321138,99.54927093",Lintas Timur Lk. Promosi,0636-081266092,0.86321138,99.54927093
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U009,dr. Fitry Mahyuni Hasibuan,"http://maps.google.co.id/?q=0.861289,99.560622",Jl. Sutan Soripada Mulia,0636-081262870,0.861289,99.560622
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U010,dr. Ligam Maaruf Lubis,"http://maps.google.co.id/?q=0.996725,99.511092",Jl. Abdullah Umar No.1,62-08136165246,0.996725,99.511092
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U012,dr. Zulkarnain Nasution,"http://maps.google.co.id/?q=0.866358,99.562566",Jl Merdeka No 22 Kayujati,0636-0,0.866358,99.562566
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U013,dr. Sofyan Hardi,"http://maps.google.co.id/?q=0.667033,99.706207",Jl. Sawahan  Psr Kotanopan,0636-081362297,0.667033,99.706207
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U015,dr. SALEH USMAN,"http://maps.google.co.id/?q=1.000772,99.509757",Jl. Imam Bonjol Kel. Siabu,62-08126513992,1.000772,99.509757
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U019,dr. FEBRINAWATI,"http://maps.google.co.id/?q=0.692076,99.368037",Lintas Mandailing Natal No. 71,0636-081264031,0.692076,99.368037
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U024,dr. Mesra Riana Lubis,"http://maps.google.co.id/?q=0.518663,99.404431",Lintas Madina No. 38,62-08137061151,0.518663,99.404431
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U027,dr. Emmy Evawany,"http://maps.google.co.id/?q=0.869327,99.56548",A. H. Nasution (Llintas Timur),62-08526264175,0.869327,99.56548
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U028,dr. Nondang Eflita,"http://maps.google.co.id/?q=0.856924,99.567086",Jl. Bermula Ujung Lk. Vi,62-08126031627,0.856924,99.567086
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U029,dr. Hasma Saleh,"http://maps.google.co.id/?q=0.494839,99.209165",Sinunukan I,081-370033447,0.494839,99.209165
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U030,dr. Nurleni Nasution,"http://maps.google.co.id/?q=0.56243,99.190227",Lintas Simpanggambir,0636-821967517,0.56243,99.190227
Sumatera Utara,Kab. Mandailing Natal,Klinik Utama,0022U032,dr. Tujuana Purba,"http://maps.google.co.id/?q=0.55944,99.111959",Jl. Sutan Syahrir Pasar 1 Nata,62-08126355156,0.55944,99.111959
Sumatera Utara,Kab. Mandailing Natal,Klinik Pratama,00220011,Poli  Polres Madina,"http://maps.google.co.id/?q=0.902338,99.545674",Jl. Bhayangkara 1,0636-321218,0.902338,99.545674
Sumatera Utara,Kab. Mandailing Natal,Klinik Pratama,0022B000,Klinik Nirmala Sari,"http://maps.google.co.id/?q=0.849659,98.987393",Desa Tabuyung ,0636-081252094,0.849659,98.987393
Sumatera Utara,Kab. Mandailing Natal,Klinik Pratama,0022B002,Klinik Insani,"http://maps.google.co.id/?q=0.772091,99.538428",Medan-Padang,0636-081361503,0.772091,99.538428
Sumatera Utara,Kab. Mandailing Natal,Klinik Pratama,0022B004,Inez Sago Nauli,"http://maps.google.co.id/?q=0.495603,99.216974",Desa Sinunukan Ii,0636-0,0.495603,99.216974
Sumatera Utara,Kab. Mandailing Natal,Klinik Pratama,0022B005,Poliklinik PTPN IV Kebun Timur,"http://maps.google.co.id/?q=0.368403,99.30743","Unit Kebun Timur, Kec. Batahan",081260777621,0.368403,99.30743
Sumatera Utara,Kab. Mandailing Natal,Klinik Pratama,0022B006,Klinik Prima Sehat,"http://maps.google.co.id/?q=0.8580139,99.5605124",Jl. Willem Iskandar Pybngan Ii,0636-081360974,0.8580139,99.5605124
Sumatera Utara,Kab. Tapanuli Selatan,Rumah Sakit,0212R001,RSUD Tapanuli Selatan,"http://maps.google.co.id/?q=1.61428309,99.24225926",Jl. Rumah Sakit No 1,0634-41002,1.61428309,99.24225926
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,00230001,Huraba,"http://maps.google.co.id/?q=1.481094,99.247259",Desa Huraba,0634-081263426,1.481094,99.247259
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,00230505,Sangkunur,"http://maps.google.co.id/?q=1.416078,99.057897",Jl. Danau Siais Km. 22,0634-085262512,1.416078,99.057897
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,00231603,Huta Raja,"http://maps.google.co.id/?q=1.445905,98.988872",Hutaraja,62-08137064823,1.445905,98.988872
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,00232501,Biru,"http://maps.google.co.id/?q=1.932075,99.46496",Jl Desa Biru,082367824673,1.932075,99.46496
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02120101,Pargarutan,"http://maps.google.co.id/?q=1.461579,99.319385",Pargarutan,0634-081264493,1.461579,99.319385
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02120401,Sitinjak,"http://maps.google.co.id/?q=1.426578,99.175572",Sitinjak,0634-085276406,1.426578,99.175572
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02120402,Siais,"http://maps.google.co.id/?q=1.356171,99.192641",Simarpinggan,0634-082163595,1.356171,99.192641
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121101,Pintu Padang,"http://maps.google.co.id/?q=1.245761,99.343539",Jl. Mandailing Km.18,62-08137522824,1.245761,99.343539
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121102,Sayur Matinggi,"http://maps.google.co.id/?q=1.147104,99.427394",Jl. Mandailingn Km 34 ,62-08216263386,1.147104,99.427394
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121103,Batu Horpak,"http://maps.google.co.id/?q=1.082262,99.412026",Desa Batu Horpak,62-08136423103,1.082262,99.412026
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121601,Batang Toru,"http://maps.google.co.id/?q=1.489299,99.051444",Jl. Merdeka,62-08216770007,1.489299,99.051444
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121602,Marancar Udik,"http://maps.google.co.id/?q=1.516823,99.222104",Marancar Julu,62-08126072935,1.516823,99.222104
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121701,Simangambat,"http://maps.google.co.id/?q=1.777292,99.333458",Jalan Simangambat,62-08216755801,1.777292,99.333458
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121702,Sipagimbar,"http://maps.google.co.id/?q=1.831743,99.37869",Sipagimbar,62-08137619859,1.831743,99.37869
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121802,Danau Marsabut,"http://maps.google.co.id/?q=1.608187,99.28349",Simangambat No. 187,62-08137659134,1.608187,99.28349
Sumatera Utara,Kab. Tapanuli Selatan,Puskesmas,02121803,Hanopan,"http://maps.google.co.id/?q=1.724409,99.319007",Desa Aek Haminjon,62-08126371548,1.724409,99.319007
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Utama,0023U021,dr. Ayu Tri Yastuti,"http://maps.google.co.id/?q=1.48262403,99.05064762",Jl. Sibolga-Padang Sidimpuan,62-08139622223,1.48262403,99.05064762
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Pratama,0023B002,Klinik Batang Toru,"http://maps.google.co.id/?q=1.48766,99.053049",Jalan Lintas Sibolga,62-08126904448,1.48766,99.053049
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Pratama,0023B003,Klinik ANJ Agri Siais,"http://maps.google.co.id/?q=1.288191,99.124942",Kelurahan Pardomuan (Paraupan),62-08153371009,1.288191,99.124942
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Pratama,0023B005,klinik ADITYA RAYA,"http://maps.google.co.id/?q=1.410208,98.857131",Kelurahan Muara Ampolu,62-08126319398,1.410208,98.857131
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Pratama,0023B008,Klinik Fuad Siregar,"http://maps.google.co.id/?q=1.43318,98.918831",Kelurahan Muara Manompas,62-08137609119,1.43318,98.918831
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Pratama,0023B009,Klinik Santa Elisabeth,"http://maps.google.co.id/?q=1.376185,99.276307",Jln Simangambat,62-08124290649,1.376185,99.276307
Sumatera Utara,Kab. Tapanuli Selatan,Klinik Pratama,04040103,Poliklinik Pemda Kab. Tapsel,"http://maps.google.co.id/?q=1.365524,99.276866",Jl. Tapian Nauli N0.3,62-08136119601,1.365524,99.276866
Sumatera Utara,Kab. Tapanuli Tengah,Rumah Sakit,0024R001,RSUD Pandan,"http://maps.google.co.id/?q=1.681521,98.822764",Jl Dr. Fl. Tobing No 5 Pandan,0631-372343,1.681521,98.822764
Sumatera Utara,Kab. Tapanuli Utara,Rumah Sakit,0211R001,RSUD Tarutung,"http://maps.google.co.id/?q=2.06767,98.960671",Jl. Agus Salim No 1 Tarutung,0633-21303,2.06767,98.960671
Sumatera Utara,Kab. Toba Samosir,Rumah Sakit,0218R001,RSUd.PORSEA,"http://maps.google.co.id/?q=3.609475,98.688987",Jalan Raja Sipakko Napitupulu ,0632-41084,3.609475,98.688987
Sumatera Utara,Kab. Toba Samosir,Rumah Sakit,0218R003,RSU.Hkbp Balige,"http://maps.google.co.id/?q=2.330871,99.066846",Jl.Gereja No.17 Balige,0632-21043,2.330871,99.066846
Sumatera Utara,Kab. Toba Samosir,Puskesmas,00260001,Parmaksian,"http://maps.google.co.id/?q=2.470249,99.183718",Jl. Raja Runggu Nalela 2 Ssor,0812-081264075,2.470249,99.183718
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180101,Borbor,"http://maps.google.co.id/?q=2.274659,99.274327",Jl. Onan Borbor,0-08136100607,2.274659,99.274327
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180201,Pintu Pohan Meranti,"http://maps.google.co.id/?q=2.530407,99.286253",Jl. Pasanggrahan,0-08526113265,2.530407,99.286253
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180301,Balige,"http://maps.google.co.id/?q=2.330533,99.055325",Jl. Patuan Nagari- Balige,0632- 432064,2.330533,99.055325
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180302,Soposurung,"http://maps.google.co.id/?q=2.331203,99.081692",Jl. Kartini Soposurung,0632-21752,2.331203,99.081692
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180303,Tampahan,"http://maps.google.co.id/?q=2.313674,99.013794",Jl. Sm Simanjuntak,0-08137609839,2.313674,99.013794
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180401,Laguboti,"http://maps.google.co.id/?q=2.356119,99.124586",Jl. D.I Panjaitan  ,0632-331462,2.356119,99.124586
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180501,Parsoburan,"http://maps.google.co.id/?q=2.323481,99.231958",Jl. Lumban Rau Parsoburan,0-081394338493,2.323481,99.231958
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180601,Silaen,"http://maps.google.co.id/?q=2.406809,99.223345",Jl. Sisingamangaraja,0-08126333120,2.406809,99.223345
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180701,Porsea,"http://maps.google.co.id/?q=2.436336,99.137887",Jl. F.L Tobing No.1 Porsea,0625-41010,2.436336,99.137887
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180702,Narumonda,"http://maps.google.co.id/?q=2.433755,99.161082",Jl. Profesor Kp Tomama Sinambe,0625-41010,2.433755,99.161082
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180801,Aeknatolu,"http://maps.google.co.id/?q=2.557558,98.999303",Jl. Desa Aek Natolu Jaya,0-081375134518,2.557558,98.999303
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180802,Uluan,"http://maps.google.co.id/?q=2.418197,99.072273",Desa Uluan,0-08527531443,2.418197,99.072273
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180803,Janji Matogu,"http://maps.google.co.id/?q=2.46042,99.084594",Jl. Desa Dolok Saribu ,0-081370208088,2.46042,99.084594
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02180901,Ajibata,"http://maps.google.co.id/?q=2.596841,99.045652",Jl Pembangunan 2,0625-41081,2.596841,99.045652
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02181002,Lumban Lobu,"http://maps.google.co.id/?q=2.512539,99.13424",Jl. Pasar Lumban Lobu,0-08527001323,2.512539,99.13424
Sumatera Utara,Kab. Toba Samosir,Puskesmas,02181304,Sigumpar,"http://maps.google.co.id/?q=2.397462,99.159671",Jl. Lintas Sumatera Sigumpar,0-08137689005,2.397462,99.159671
